session_id,user_id,group,date,time_on_page,offers_viewed_per_session,offers_clicked_per_session
629903,761393,control,2026-05-01,201,13,2
731262,941134,control,2026-05-01,218,12,4
127824,670065,control,2026-05-01,413,14,1
688508,933456,control,2026-05-01,447,7,1
308496,120478,control,2026-05-01,1581,16,2
850800,501078,test,2026-05-01,48,12,0
781453,919898,test,2026-05-01,164,20,7
835392,848023,control,2026-05-01,312,10,2
671412,476556,test,2026-05-01,1576,22,5
539898,602985,test,2026-05-01,801,21,4
331148,670968,control,2026-05-01,458,14,5
571029,919394,test,2026-05-01,321,13,5
717889,608223,control,2026-05-01,450,17,2
391704,460745,control,2026-05-01,649,5,1
948749,693128,control,2026-05-01,300,23,9
106814,626797,control,2026-05-01,150,17,4
895667,437226,test,2026-05-01,1362,16,4
944962,507247,test,2026-05-01,332,20,3
267414,383572,test,2026-05-01,3258,20,3
832052,288550,test,2026-05-01,935,13,3
543143,127329,control,2026-05-01,478,14,1
456778,434367,control,2026-05-01,1500,12,0
391369,726121,test,2026-05-01,1352,11,1
263032,329659,test,2026-05-01,200,14,1
325772,130726,control,2026-05-01,94,11,3
900581,950069,test,2026-05-01,325,13,3
452944,916356,test,2026-05-01,585,16,3
207175,394579,test,2026-05-01,155,30,6
197251,161437,control,2026-05-01,179,12,3
498382,947935,control,2026-05-01,176,11,1
201414,594596,control,2026-05-01,418,7,0
476417,655149,control,2026-05-01,167,17,3
988662,474795,test,2026-05-01,87,21,2
460663,904092,test,2026-05-01,32,18,1
733052,712356,control,2026-05-01,1360,14,1
377370,344068,test,2026-05-01,363,21,3
946335,267378,control,2026-05-01,1037,21,5
145561,204998,control,2026-05-01,234,19,0
865179,359896,control,2026-05-01,98,11,5
581741,788772,control,2026-05-01,497,10,0
662275,352867,control,2026-05-01,1018,15,2
230889,379473,control,2026-05-01,1337,17,0
496922,659614,test,2026-05-01,248,11,0
182627,955937,test,2026-05-01,114,22,5
678856,929672,test,2026-05-01,517,16,3
407419,872863,control,2026-05-01,70,12,3
969693,158624,test,2026-05-01,1208,15,3
759176,901164,control,2026-05-01,588,9,1
748564,330069,test,2026-05-01,397,21,2
479201,703656,control,2026-05-01,66,1,1
705397,987624,test,2026-05-01,1051,15,1
301629,936124,control,2026-05-01,2827,7,1
838797,507290,control,2026-05-01,620,19,0
172933,472039,test,2026-05-01,403,13,3
148050,979988,test,2026-05-01,458,17,4
793384,986278,control,2026-05-01,616,11,2
338968,282150,test,2026-05-01,1499,19,7
910620,284654,test,2026-05-01,1413,20,4
403445,348041,control,2026-05-01,201,10,2
183667,721301,control,2026-05-01,251,12,2
996865,433451,control,2026-05-01,2524,15,1
344098,945372,test,2026-05-01,2636,13,1
205907,873959,test,2026-05-01,2070,17,3
498591,831514,control,2026-05-01,444,9,0
391476,476211,control,2026-05-01,55,13,5
575435,720298,control,2026-05-01,170,18,4
766563,129576,test,2026-05-01,1309,15,2
974628,837623,test,2026-05-01,199,21,2
482554,834591,test,2026-05-01,343,13,3
270555,468765,test,2026-05-01,748,32,4
488162,695225,test,2026-05-01,574,15,1
472528,690984,test,2026-05-01,995,17,5
319684,249005,control,2026-05-01,119,7,2
802729,690462,test,2026-05-01,600,21,3
379946,297377,control,2026-05-01,512,11,1
835911,977340,control,2026-05-01,636,8,2
816751,949767,control,2026-05-01,152,3,1
779514,616137,test,2026-05-01,3711,20,5
174870,668458,control,2026-05-01,397,16,1
738720,424065,control,2026-05-01,1389,16,2
765822,284084,control,2026-05-01,910,7,1
279451,614259,control,2026-05-01,99,14,3
660086,139807,control,2026-05-01,63,9,1
864544,194641,control,2026-05-01,375,5,1
356702,158896,test,2026-05-01,242,23,3
271339,343923,control,2026-05-01,160,1,0
584714,730889,test,2026-05-01,366,17,3
497887,329437,control,2026-05-01,749,4,2
383060,120896,test,2026-05-01,189,24,5
771088,652021,test,2026-05-01,840,23,7
821590,601207,control,2026-05-01,204,3,1
684004,100716,control,2026-05-01,790,16,2
330283,447848,test,2026-05-01,180,11,0
817870,743966,test,2026-05-01,1408,21,8
440035,311250,control,2026-05-01,362,3,1
983794,945619,test,2026-05-01,614,26,3
905635,236828,control,2026-05-01,486,11,3
913694,457311,test,2026-05-01,444,14,4
158655,851763,control,2026-05-01,209,11,1
340174,286080,control,2026-05-01,488,10,0
961722,941403,test,2026-05-01,190,20,2
133659,985296,test,2026-05-01,1487,16,2
944151,439307,test,2026-05-01,1233,20,3
430776,162448,control,2026-05-01,626,9,0
520651,122977,control,2026-05-01,652,9,1
380746,254887,control,2026-05-01,315,11,5
169403,715104,test,2026-05-01,1281,16,2
321231,838927,test,2026-05-01,235,14,3
694731,248533,test,2026-05-01,576,14,2
852787,911982,test,2026-05-01,1406,24,7
429963,216308,control,2026-05-01,982,14,5
322955,987599,control,2026-05-01,337,11,2
787277,651860,control,2026-05-01,549,16,1
623481,482614,test,2026-05-01,1157,24,3
514850,176054,control,2026-05-01,3672,16,2
774079,491738,control,2026-05-01,576,1,0
581141,838761,control,2026-05-01,1160,12,1
249811,794303,control,2026-05-01,105,13,2
377746,514812,test,2026-05-01,803,19,3
246413,714483,test,2026-05-01,901,11,3
358607,205939,control,2026-05-01,145,8,1
881177,452909,test,2026-05-01,448,8,2
688637,416423,test,2026-05-01,635,13,1
665158,438273,control,2026-05-01,397,16,3
375504,243079,control,2026-05-01,784,3,0
883300,265154,control,2026-05-01,178,13,1
712982,867926,test,2026-05-01,1096,17,5
549245,558089,test,2026-05-01,221,14,1
711878,930307,control,2026-05-01,480,14,2
518801,770318,control,2026-05-01,1172,10,0
479580,610866,control,2026-05-01,274,11,2
329974,780714,control,2026-05-01,247,18,3
245051,432695,control,2026-05-01,227,12,0
634277,282664,control,2026-05-01,217,3,1
617488,841535,test,2026-05-01,223,25,2
195325,689275,control,2026-05-01,391,16,1
892495,827250,control,2026-05-01,1167,9,2
149405,743520,control,2026-05-01,550,15,3
214975,925220,test,2026-05-01,415,28,2
260265,474158,control,2026-05-01,93,8,2
757924,334081,test,2026-05-01,690,13,4
267753,797860,control,2026-05-01,172,15,0
930555,717558,test,2026-05-01,384,21,1
813536,954017,control,2026-05-01,1541,16,1
542666,283869,test,2026-05-01,2871,14,2
725380,496764,test,2026-05-01,122,16,1
166613,421727,test,2026-05-01,74,17,2
503457,869649,control,2026-05-01,224,13,6
500156,821942,test,2026-05-01,200,26,3
724834,408823,test,2026-05-01,117,14,1
590785,233534,control,2026-05-01,874,2,0
654816,286340,test,2026-05-01,171,20,2
363626,864234,control,2026-05-01,288,8,3
680099,101885,control,2026-05-01,338,8,0
112038,836109,control,2026-05-01,570,11,1
813328,700660,test,2026-05-01,206,22,7
855731,510623,control,2026-05-01,165,11,4
220116,992083,test,2026-05-01,95,22,4
814825,908274,test,2026-05-01,39,10,3
663054,695048,test,2026-05-01,99,15,2
887352,133955,control,2026-05-01,167,14,2
379786,290926,test,2026-05-01,186,17,1
905934,731650,control,2026-05-01,3827,14,2
772097,433674,control,2026-05-01,193,13,2
456699,948095,test,2026-05-01,4335,8,0
216970,741079,test,2026-05-01,1396,17,1
407757,331625,control,2026-05-01,130,21,2
555884,770718,control,2026-05-01,98,11,4
265840,693022,control,2026-05-01,341,8,1
575763,209167,test,2026-05-01,188,13,4
103402,620287,test,2026-05-01,807,13,2
857168,247475,test,2026-05-01,334,5,2
854639,447255,test,2026-05-01,153,23,4
376183,881549,test,2026-05-01,123,16,4
624902,181586,control,2026-05-01,83,11,2
898975,349556,test,2026-05-01,981,16,5
287330,463656,test,2026-05-01,199,23,9
632342,435039,control,2026-05-01,224,9,0
211579,276042,control,2026-05-01,611,6,1
755674,767090,test,2026-05-01,408,15,3
412942,193035,control,2026-05-01,75,14,0
982554,961574,test,2026-05-01,562,16,7
769987,843404,test,2026-05-01,182,17,4
632323,802571,test,2026-05-01,532,9,3
738551,770147,control,2026-05-01,91,15,4
308573,864711,test,2026-05-01,321,15,2
260263,452058,test,2026-05-01,1781,21,7
492077,568325,test,2026-05-01,1306,18,3
899550,111949,control,2026-05-01,731,3,2
269396,378095,test,2026-05-01,101,21,2
665579,319869,test,2026-05-01,52,11,1
916449,361662,test,2026-05-01,869,11,0
656116,826847,test,2026-05-01,619,16,3
100599,171087,control,2026-05-01,494,16,2
728038,467506,control,2026-05-01,1915,13,2
439902,369125,test,2026-05-01,546,17,6
612340,925250,test,2026-05-01,588,17,4
120422,213282,test,2026-05-01,115,17,2
217301,855408,test,2026-05-01,2377,9,1
480612,101343,test,2026-05-01,397,18,3
972064,150486,control,2026-05-01,1330,14,1
945964,504684,control,2026-05-01,174,11,2
422451,559507,control,2026-05-01,607,6,1
351083,868170,control,2026-05-01,150,8,2
160738,540038,control,2026-05-01,885,14,0
352572,274418,control,2026-05-01,537,8,2
694916,534130,test,2026-05-01,655,15,2
182582,617033,control,2026-05-01,817,4,1
189814,497108,test,2026-05-01,618,24,2
867460,468292,test,2026-05-01,866,13,3
609597,672547,control,2026-05-01,424,17,4
955662,493580,test,2026-05-01,81,15,1
172574,206355,test,2026-05-01,672,10,1
897549,969067,control,2026-05-01,369,17,2
658582,602780,test,2026-05-01,294,19,5
903035,927043,test,2026-05-01,469,7,2
231869,706135,control,2026-05-01,88,13,1
234628,782591,control,2026-05-01,102,13,4
791798,895075,control,2026-05-01,415,7,0
598369,820539,test,2026-05-01,258,26,5
676510,336540,test,2026-05-01,781,15,5
273148,270557,control,2026-05-01,215,10,4
377932,573209,control,2026-05-01,3888,15,5
653306,177289,control,2026-05-01,1902,10,1
736059,938016,test,2026-05-01,834,15,2
543692,986846,test,2026-05-01,1965,23,4
322086,135035,control,2026-05-01,441,8,0
665492,409234,test,2026-05-01,639,22,2
891952,121053,control,2026-05-01,91,9,1
865388,434198,test,2026-05-01,84,17,5
823378,373812,control,2026-05-01,124,3,0
310922,209812,control,2026-05-01,1889,12,0
847581,177804,control,2026-05-01,218,12,2
426858,458411,test,2026-05-01,1184,17,4
518373,278368,control,2026-05-01,756,12,3
804314,493696,control,2026-05-01,350,15,0
781446,268720,test,2026-05-01,3446,13,3
491559,867541,control,2026-05-01,123,12,1
559381,178645,control,2026-05-01,262,19,4
