session_id,user_id,group,date,time_on_page,offers_viewed_per_session,offers_clicked_per_session
629903,761393,control,2026-05-01,1450,5,0
731262,941134,control,2026-05-01,278,14,2
127824,670065,control,2026-05-01,251,21,3
688508,933456,control,2026-05-01,275,22,2
308496,120478,control,2026-05-01,60,9,0
850800,501078,test,2026-05-01,126,11,0
781453,919898,test,2026-05-01,405,10,0
835392,848023,control,2026-05-01,613,11,1
671412,476556,test,2026-05-01,686,18,1
539898,602985,test,2026-05-01,192,5,0
331148,670968,control,2026-05-01,256,15,0
571029,919394,test,2026-05-01,320,11,1
717889,608223,control,2026-05-01,286,18,3
391704,460745,control,2026-05-01,835,18,5
948749,693128,control,2026-05-01,113,9,1
106814,626797,control,2026-05-01,133,11,0
895667,437226,test,2026-05-01,311,16,2
944962,507247,test,2026-05-01,107,16,4
267414,383572,test,2026-05-01,62,1,0
832052,288550,test,2026-05-01,94,16,2
543143,127329,control,2026-05-01,329,20,5
456778,434367,control,2026-05-01,788,13,1
391369,726121,test,2026-05-01,805,16,5
263032,329659,test,2026-05-01,2054,18,4
325772,130726,control,2026-05-01,464,13,2
900581,950069,test,2026-05-01,531,16,3
452944,916356,test,2026-05-01,326,12,1
207175,394579,test,2026-05-01,343,11,2
197251,161437,control,2026-05-01,3362,8,1
498382,947935,control,2026-05-01,545,12,2
201414,594596,control,2026-05-01,594,21,1
476417,655149,control,2026-05-01,133,7,0
988662,474795,test,2026-05-01,632,15,2
460663,904092,test,2026-05-01,811,13,2
733052,712356,control,2026-05-01,1274,19,2
377370,344068,test,2026-05-01,788,20,3
946335,267378,control,2026-05-01,369,7,2
145561,204998,control,2026-05-01,354,9,1
865179,359896,control,2026-05-01,390,9,1
581741,788772,control,2026-05-01,467,9,2
662275,352867,control,2026-05-01,1491,10,3
230889,379473,control,2026-05-01,1227,13,2
496922,659614,test,2026-05-01,891,7,3
182627,955937,test,2026-05-01,3194,8,1
678856,929672,test,2026-05-01,29,8,0
407419,872863,control,2026-05-01,265,14,3
969693,158624,test,2026-05-01,415,11,1
