AdID,LocationID,CategoryID,Params,Price,Title,IsContext
25987418,3771,60,"{112:'86-92 см (1-2 года)', 178:'Для девочек', 179:'Верхняя одежда'}",700.0,Куртка демисезонная (новая),0
35624967,3807,34,"{817:'Автосвет', 5:'Запчасти', 598:'Для автомобилей'}",3800.0,"Priora фонари задние infinity style от ""prospoprt""",0
22033492,3953,22,"{83:'Верхняя одежда', 86:'40–42 (XS)', 175:'Женская одежда'}",2150.0,Куртка vininus новая с поясом разные размеры,0
9528285,227,43,"{1283:'С пробегом', 633:'Зелёный', 184:'0 - 4 999', 695:'Полный', 632:'1.6', 210:'УАЗ', 185:'Механика', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Внедорожник', 188:'1982', 286:'469'}",120000.0,"УАЗ 469, 1982",0
22066489,3960,57,{130:'Косметика'},200.0,Декоративная косметика новое и бу оригинал,0
25513417,742,250005,"{716:'Ремонт, строительство'}",2000.0,Энергоучет удаленный опрос счетчиков в СНТ,0
11522900,3953,50,{44:'Стройматериалы'},125.0,Трёхжильный силовой кабель,0
18563951,3022,22,"{83:'Свадебные платья', 476:'46–48 (L)', 175:'Женская одежда'}",17000.0,Изящное платье Novabella,0
27225910,2474,43,"{1154:1, 1283:'С пробегом', 1156:454, 1158:'6 колонок', 1159:0, 1161:'ксеноновые', 1162:1, 1164:'15', 1165:1, 184:'50 000 - 54 999', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2007', 1207:3, 632:'1.4', 210:'Chevrolet', 185:'Механика', 232:'Lacetti', 1132:'гидроусилитель', 1134:'кондиционер', 1135:0, 1137:'велюр', 1138:0, 1140:12, 1142:'только передние', 1144:4, 633:'Серебряный ', 1148:256, 1150:7}",290000.0,"Chevrolet Lacetti, 2007",0
18307196,1261,60,"{178:'Для девочек', 115:'110-116 см (4-6 лет)', 179:'Платья и юбки'}",300.0,Платье,0
4419317,3137,250006,"{712:'Полный день', 827:'Более 1 года', 711:'Административная работа'}",25000.0,Секретарь-делопроизводитель,0
11682090,1653,57,{130:'Приборы и аксессуары'},0.0,Инвалидная коляска,0
34376638,1653,29,"{483:'Комплектующие', 631:'CD, DVD и Blu-ray приводы'}",400.0,"Lg привод gh22ns50, как новый",0
24989075,2430,250005,"{716:'Деловые услуги', 719:'Юридические услуги'}",10000.0,Недвижимость,0
35647874,3282,250005,"{716:'Праздники, мероприятия'}",2000.0,Свадебная атрибутика для фотосессий,0
9544933,44,250005,"{716:'Ремонт, строительство'}",0.0,Изготовление и монтаж металлоконструкций,0
6667761,2840,43,"{187:'Седан', 633:'Белый ', 1159:0, 210:'ВАЗ (LADA)', 184:'15 000 - 19 999', 1162:0, 1165:0, 1135:0, 632:'1.6', 1138:0, 1283:'С пробегом', 280:'Priora', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 1167:'1', 188:'2014', 185:'Механика'}",370000.0,"LADA Priora, 2014",0
4885381,2291,54,"{549:'1', 201:'Продам', 498:'Монолитный', 499:'Новостройка', 566:'Не первый и не последний', 575:'17-25'}",2750000.0,"1-к квартира, 43 м², 15/17 эт.",0
35009290,3960,54,"{549:'3', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый и не последний', 575:'5-8'}",24500000.0,"3-к квартира, 71 м², 5/8 эт.",0
36818930,972,14,{42:'Сельхозтехника'},33045.0,Рассадопосадочная машина Агро-пак серии S237-93см,0
32251347,3960,43,"{1283:'С пробегом', 633:'Чёрный', 1159:0, 210:'Toyota', 184:'50 000 - 54 999', 1162:0, 1165:0, 1135:0, 632:'1.6', 1138:0, 277:'Corolla', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Седан', 188:'2013', 185:'Автомат'}",700000.0,"Toyota Corolla, 2013",0
32112565,547,34,{5:'Тюнинг'},18500.0,Защита бампера Renault Koleos I 2011-2013,0
7658290,44,37,{14:'Другое'},100.0,Позитивные магнитики,0
34297728,2077,60,"{112:'74-80 см (7-12 мес)', 178:'Для девочек', 179:'Верхняя одежда'}",400.0,Костюм демисезонний,0
15688844,1667,29,"{483:'Комплектующие', 631:'Оперативная память'}",200.0,Hunix 128MB DDR PC400,0
36240176,4545,53,{181:'Промышленное'},20000.0,Пресс пиротехнический ппо 240,0
4734747,926,53,{181:'Для ресторана'},25000.0,Шаурма,0
27229816,2294,54,"{549:'2', 201:'Продам', 498:'Монолитный', 499:'Новостройка', 566:'Не первый и не последний', 575:'5-8'}",4000000.0,"2-к квартира, 80 м², 2/8 эт.",0
32944123,3960,22,"{88:'39', 83:'Обувь', 175:'Женская одежда'}",1200.0,Балеточки новые по стельке25см,0
5745842,1885,51,"{148:'ИБП, сетевые фильтры'}",2000.0,Блок бесперебойного питания APC Back-UPS CS 500VA,0
31206024,2184,43,"{1283:'С пробегом', 633:'Серебряный ', 184:'110 000 - 119 999', 695:'Передний', 632:'1.5', 210:'ВАЗ (LADA)', 185:'Механика', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Хетчбэк', 188:'2005', 280:'2114 Samara'}",110000.0,"ВАЗ 2114 Samara, 2005",0
33467914,,34,"{5:'Запчасти', 598:'Для автомобилей'}",4800.0,Капот Форд Транзит,1
7691699,3953,60,"{178:'Для девочек', 115:'98-104 см (2-4 года)', 179:'Платья и юбки'}",500.0,Платье на девочку,0
9261886,3960,34,"{817:'Трансмиссия и привод', 5:'Запчасти', 598:'Для автомобилей'}",1.0,Оригинальные запчасти honda civic 5d,0
24792818,227,38,{45:'Текстиль и ковры'},0.0,"Ковры, паласы",0
21996473,3807,22,"{90:'42–44 (S)', 83:'Платья и юбки', 175:'Женская одежда'}",1800.0,Продам школьное советское платье,0
19471891,2840,250004,"{714:'Строительство', 715:'Полный день', 822:'Среднее специальное', 823:'20', 824:'Мужской', 825:'45'}",0.0,Каменщики,0
8389380,3953,47,{127:'Детские коляски'},2000.0,ABC Design Коляска прогулочная Easy Walker (green),0
14332227,3960,38,"{45:'Кровати, диваны и кресла'}",50000.0,2 дивана и 2 кресла,0
28154531,3193,54,"{549:'2', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый и не последний', 575:'9-12'}",2550000.0,"2-к квартира, 58 м², 6/12 эт.",0
4039854,2277,34,"{817:'Двигатель', 5:'Запчасти', 598:'Для автомобилей'}",4999.0,"Турбина мерседес вито w638, w210, w203.2.2cdi",0
9303361,1261,34,"{5:'Запчасти', 598:'Для автомобилей'}",27500.0,Турбина 28231-27800 Hyundai Santa Fe 2.2 CRDi,0
25445497,3960,34,"{5:'Запчасти', 598:'Для мототехники'}",6500.0,Запчасти сузуки GSX-R,0
25510439,3953,41,{143:'iPhone'},35500.0,Айфон 6,0
3565525,1653,34,"{5:'Запчасти', 598:'Для автомобилей'}",2000.0,Киа спортейдж передняя левая дверь,0
25349267,148,26,{132:'Усилители и ресиверы'},4000.0,Комплект спутникого тв и интернета,0
36168860,2277,34,"{817:'Двигатель', 5:'Запчасти', 598:'Для автомобилей'}",2000.0,Продам натяжитель ремня Мерседес,0
8143408,4545,26,{132:'Кабели и адаптеры'},900.0,"Кабели hdmi vivanco v.1.4 (1.5м), 3D, 4К, 1080р",0
31707238,1902,47,{127:'Игрушки'},1000.0,Развивающий коврик,0
10500830,3177,32,"{536:'Продам', 579:'Складское помещение'}",6000000.0,"Складское помещение, 500 м²",0
32765389,3960,60,"{178:'Для девочек', 179:'Трикотаж', 478:'86-92 см (1-2 года)'}",250.0,Хлопковая безрукавка на девочку 18-24 мес,0
8426268,1731,34,"{817:'Двигатель', 5:'Запчасти', 598:'Для автомобилей'}",600.0,Вкладыши Toyota 13041-22024-03,0
6550820,3960,60,"{178:'Для девочек', 179:'Брюки', 111:'98-104 см (2-4 года)'}",200.0,Фисташковые брюки хб р. 94 на 3 года,0
3532373,2225,22,"{89:'> 50 (XXL)', 83:'Пиджаки и костюмы', 175:'Женская одежда'}",300.0,Костюм (юбка кофта),0
16742974,3960,22,"{83:'Верхняя одежда', 86:'> 50 (XXL)', 175:'Женская одежда'}",25000.0,Выс-го кач-ва пальто Италия кашемир/лана 52/54р-ры,0
4704923,3921,29,{483:'Аксессуары'},50.0,"Кабель питания от монитора / пк до розетки, 1.8 м",0
15743301,2350,34,{5:'Аксессуары'},1000.0,Катализатор приора,0
22919071,3016,26,"{132:'Музыкальные центры, магнитолы'}",1000.0,Продам радиоллу реконда,0
18234310,832,54,"{549:'3', 201:'Продам', 498:'Кирпичный', 499:'Новостройка', 566:'Не первый и не последний', 575:'< 5'}",5500000.0,"3-к квартира, 120 м², 3/4 эт.",0
7800183,1294,50,{44:'Садовая техника'},15250.0,Теплицы из поликарбоната,0
20173158,3953,250004,"{714:'Продажи', 715:'Полный день', 822:'Среднее специальное', 823:'5', 824:'Женский', 825:'26'}",25.0,Мобильный мерчендайзер,0
1183197,3939,250001,"{722:'Ремонт, строительство'}",100.0,Приму грунт и строительный мусор,0
5278541,3960,22,"{88:'38', 83:'Обувь', 175:'Женская одежда'}",1795.0,Вансы Vans Classics Authentic All Black,0
8867695,4423,22,"{83:'Нижнее бельё', 175:'Женская одежда', 491:'44–46 (M)'}",1000.0,Болеро 44-46Р,0
1168699,4336,35,,800.0,Драцена,0
12377891,1403,60,"{113:'Без размера', 178:'Для девочек', 179:'Комбинезоны и боди'}",3000.0,"Продаются детские вещи (для девочки), 2 пакета",0
34127582,3960,38,{45:'Другое'},2200.0,Павлиньи перья(45шт),0
19506453,3960,47,{127:'Детские коляски'},3000.0,Детская коляска,0
7643554,3771,47,{127:'Автомобильные кресла'},1900.0,Автолюлька Bertoni Bodyguard,0
32468370,2685,30,"{786:'Да', 563:'Машиноместо', 204:'Сдам', 782:'Открытая стоянка'}",1200.0,Машиноместо,0
17499468,1459,34,"{817:'Запчасти для ТО', 5:'Запчасти', 598:'Для автомобилей'}",700.0,Полка акустическая,0
1384037,3106,54,"{549:'1', 201:'Продам', 498:'Кирпичный', 499:'Новостройка', 566:'Не первый', 575:'9-12'}",1670000.0,"1-к квартира, 39 м², 9/9 эт.",0
20925382,3960,22,"{88:'38', 83:'Обувь', 175:'Женская одежда'}",1150.0,"Полусапожки, натуральная кожа, новые",0
21946715,3137,34,"{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}",2000.0,Зеркало заднего вида Toyota Harrier ACU 35,0
31125959,1294,32,"{536:'Продам', 579:'Складское помещение'}",12500000.0,"Складское помещение, 720 м²",0
17701892,992,34,"{709:'Шины', 731:'185', 732:'70', 733:'14', 734:'Летние', 5:'Шины, диски и колёса'}",800.0,"Одна летния шина ""Кама 204"" 185/70/R-14",0
27537237,1294,34,"{817:'Кузов', 5:'Запчасти', 598:'Для автомобилей'}",1.0,Крыло переднее мазда6 2007-2010гг,0
12728105,1299,43,"{1283:'С пробегом', 633:'Серебряный ', 1159:0, 210:'Ford', 184:'130 000 - 139 999', 1162:0, 241:'Fusion', 1165:0, 1135:0, 632:'1.4', 1138:0, 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Хетчбэк', 188:'2005', 185:'Робот'}",246000.0,"Ford Fusion, 2005",0
14972602,992,34,"{817:'Электрооборудование', 5:'Запчасти', 598:'Для автомобилей'}",8000.0,Блок предохранителей Форд Фокус 2,0
30260685,3953,37,{14:'Военные вещи'},1400.0,"Ящик минный, Вермахт",0
20126335,3960,34,"{802:'18', 803:'Литые', 804:'Всесезонные', 5:'Шины, диски и колёса', 806:'55', 808:'5', 709:'Колёса', 805:'255'}",13000.0,Диски с резиной r-18 для BMW,0
13317804,1261,37,{14:'Банкноты'},8000.0,Банкноты старые Российские и зарубежные,0
70201,3540,37,{14:'Макеты оружия'},15000.0,Макет ммг пистолета Макарова (пм),0
12194270,808,54,"{549:'2', 201:'Продам', 498:'Кирпичный', 499:'Вторичка', 566:'Не первый', 575:'5-8'}",2500000.0,"2-к квартира, 54 м², 5/5 эт.",0
11126959,1299,54,"{549:'1', 201:'Продам', 498:'Панельный', 499:'Вторичка', 566:'Не первый', 575:'< 5'}",1500000.0,"1-к квартира, 29 м², 4/4 эт.",0
30093058,2430,42,"{202:'Продам', 556:'Коттедж', 525:'2'}",4900000.0,Коттедж 115 м² на участке 8.33 га,0
10576567,1403,60,"{178:'Для мальчиков', 124:'27', 110:'Обувь'}",500.0,"Ботинки ""Котофей"", р.27",0
33819775,3960,34,"{817:'Трансмиссия и привод', 5:'Запчасти', 598:'Для автомобилей'}",9800.0,Привод передний правый для Honda Civic 5D,0
34989048,926,52,{167:'Учебная литература'},100.0,Учебники и рабочие тетради 5-6 класс,0
6775844,3973,50,{44:'Стройматериалы'},100.0,Продам керамзит,0
32905850,3618,43,"{187:'Хетчбэк', 633:'Серебряный ', 1159:0, 210:'Daewoo', 184:'65 000 - 69 999', 1162:0, 235:'Matiz', 1165:1, 1135:0, 632:'0.8', 1138:0, 1283:'С пробегом', 695:'Передний', 696:'левый', 697:'Не битый', 186:'Бензин', 1167:'3', 188:'2006', 185:'Механика'}",90000.0,"Daewoo Matiz, 2006",0
28931024,241,54,"{576:'< 5', 550:'1', 201:'Сдам', 503:'Кирпичный', 567:'Не первый и не последний', 504:'На длительный срок'}",10000.0,"1-к квартира, 33 м², 2/3 эт.",0
36653127,1592,43,"{281:'ГАЗель Бизнес', 1283:'С пробегом', 633:'Белый ', 1159:0, 210:'ГАЗ', 184:'45 000 - 49 999', 1162:0, 1165:0, 1135:0, 632:'2.0', 1138:0, 695:'Задний', 696:'левый', 697:'Не битый', 186:'Бензин', 187:'Фургон', 188:'2012', 185:'Механика'}",460000.0,"ГАЗ ГАЗель Бизнес, 2012",0
26453043,2440,42,"{202:'Продам', 556:'Дача', 525:'70'}",0.0,Дача 100 м² на участке 15 сот.,0
6027343,926,22,"{83:'Топы и футболки', 92:'40–42 (XS)', 175:'Женская одежда'}",200.0,Яркая спортивная футболка,0
554319,2561,250005,"{716:'Ремонт, строительство'}",0.0,Бригада кровельщиков,0
