SearchID,SearchDate,IPID,UserID,IsUserLoggedOn,SearchQuery,LocationID,CategoryID,SearchParams
9797279,2015-05-03 18:29:47,352551,275815,1,,4145,22,"{83:'Платья и юбки', 175:'Женская одежда', 90:'> 50 (XXL)'}"
26946606,2015-05-13 12:42:01,946676,140441,0,,1301,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Автосвет'}"
7612264,2015-05-12 10:16:45,1524806,1452155,1,,3960,25,
21835419,2015-04-29 09:09:47,345521,4084561,0,всё для тюнинга,1361,34,
11421530,2015-04-30 15:16:00,1720521,1556723,1,,3953,57,{130:'Парфюмерия'}
71247551,2015-04-30 17:15:26,1369126,1085411,0,,3216,28,
35756019,2015-05-11 15:09:50,796609,2724113,1,108,2885,34,"{5:'Шины, диски и колёса'}"
89131016,2015-05-03 21:29:32,227216,3412134,0,,2612,22,{175:'Женская одежда'}
49441203,2015-05-09 11:26:20,2071178,153890,1,,1742,34,
46804225,2015-05-11 15:42:22,76044,66678,0,,992,17,
36359876,2015-05-05 20:38:47,889901,4266656,0,,1636,38,{45:'Кухонные гарнитуры'}
1735107,2015-05-05 20:20:50,1729094,519267,1,,2643,34,"{797:'14', 5:'Шины, диски и колёса', 709:'Диски'}"
42662551,2015-05-17 19:39:19,1786182,1753696,0,,4287,12,
40795536,2015-04-29 05:36:41,1476405,2019959,0,,4306,50,
13033625,2015-04-28 15:46:11,523996,3729410,0,,1731,47,{127:'Велосипеды и самокаты'}
106999289,2015-05-02 22:48:06,2094868,867972,1,ps4,1261,13,{137:'Игровые приставки'}
48173207,2015-05-09 21:17:45,584696,819101,0,,3960,26,"{132:'Акустика, колонки, сабвуферы'}"
74629181,2015-05-12 06:55:54,1210223,263138,0,тумба подставка под телевизор,3960,38,
53012571,2015-05-06 23:16:05,2050315,4229053,0,,1110,47,{127:'Автомобильные кресла'}
27676390,2015-05-08 22:48:11,1496877,1424626,1,,3960,22,"{176:'Обувь', 175:'Мужская одежда', 98:'42'}"
80447952,2015-05-20 15:44:32,1598846,3674469,0,холодильник,3960,27,
66602625,2015-04-29 21:13:58,2190343,2275439,1,,1294,60,"{112:'86-92 см (1-2 года)', 179:'Верхняя одежда', 178:'Для девочек'}"
70601534,2015-05-13 20:41:45,551577,1532243,0,,3921,34,"{797:'18', 5:'Шины, диски и колёса', 709:'Диски'}"
31254022,2015-05-19 10:59:44,162085,2552345,1,,942,60,"{179:'Обувь', 178:'Для девочек'}"
99009640,2015-05-04 13:15:07,1509898,1445348,1,,1871,41,
