SearchID,AdID,Position,ObjectType,HistCTR,IsClick
25058395,13245136,7,3,0.001586,0
72836636,12828860,2,2,,
35404762,34698219,2,1,,
99584558,14701201,6,1,,
7807012,20017196,1,3,0.013136,0
61323222,25317404,6,1,,
88597786,23663987,2,1,,
82118872,14064912,2,2,,
107847321,6733780,8,1,,
96438919,8251753,2,1,,
32612352,23607363,2,2,,
5244294,28790712,1,3,0.020081,0
61178433,2797705,1,3,0.004494,0
18365528,20145067,7,3,0.0029,0
41948030,11738714,1,3,0.051281,0
69311897,34829868,7,3,0.003663,0
68004133,26145777,8,1,,
99243581,22129188,2,1,,
17449870,25901012,2,2,,
32811462,6237980,8,1,,
15247533,4252227,2,1,,
58784721,2668533,8,2,,
41605954,27335866,1,3,0.026846,0
20405961,32968992,8,1,,
29454557,21905709,7,3,0.003644,0
47536440,2041638,8,1,,
43945543,36268251,1,3,0.00349,0
41029568,1495772,2,1,,
112764198,33242277,8,1,,
35981493,1790608,1,3,0.024688,0
48993415,24888368,8,1,,
52813098,8027895,7,3,0.002186,0
35201912,12533138,2,1,,
81474929,10134015,7,3,0.009709,0
88652943,6718520,7,3,0.006429,0
63513870,25738905,1,3,0.003428,0
109305256,34114280,7,3,0.006579,0
37679824,14610991,1,3,0.052148,0
44119869,33072553,7,3,0.00163,0
104240611,17873462,1,3,0.010644,0
76580625,1401056,7,3,0.017234,0
49565441,10976343,7,3,0.001463,0
91486816,13671281,1,3,0.024341,0
21805344,13605287,6,1,,
49032230,5639262,7,3,0.00609,0
91114628,13671281,7,3,0.030995,0
37081086,2872705,1,3,0.008164,0
113402685,8027895,7,3,0.001422,0
68064699,8508271,8,1,,
85073803,33662202,1,3,0.008244,0
36398638,24216047,2,2,,
60389496,29592766,7,1,,
49099810,35853164,8,1,,
113273129,18937910,8,1,,
54862961,6518744,1,3,0.006531,0
87636787,8404495,7,3,0.00519,0
15193815,35094776,7,3,0.001686,0
105752964,34084553,7,3,0.002431,0
10109608,24219331,7,3,0.003484,0
74843471,4417716,7,3,0.002199,0
2766404,27928263,1,3,0.026178,0
